,puntuacion,total_premios,razzie,director,guion,musica,fotografia,reparto_1,reparto_2,reparto_3,reparto_4,reparto_5,duracion,year,accion,aventuras,belico,ciencia ficcion,cine negro,comedia,drama,fantastico,infantil,intriga,musical,romance,terror,thriller,western,pais
209,5.2,0,0,0,0,0,0,0,0,1,0,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88
210,6.4,1,0,0,1,0,3,1,6,5,1,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
212,5.2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,178
213,6.0,0,0,0,0,1,1,0,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182
214,5.2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,313
215,7.1,0,0,3,1,9,3,0,1,1,1,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42
218,7.9,5,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5182
219,6.8,0,0,2,1,2,0,3,5,1,1,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5182
220,7.2,0,0,1,0,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5182
221,5.6,1,0,2,0,6,5,2,0,1,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1042
222,5.0,0,0,0,0,0,0,2,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5182
223,5.2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
224,8.0,12,0,2,0,0,2,4,2,19,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5182
