id;festival;categoria;año;premiado_a;director
220;Festival de Berlín ; Oso de Oro - Mejor película: ;1953; La noche ; Pauline Malefane
221;Festival de Berlín ; Oso de Oro - Mejor película: ;1952; El lazarillo de Tormes ; Andile Tshoni
222;Festival de Berlín ; Oso de Oro - Mejor película: ;1951; Los primos ; Zweilungile Sidloyi
223;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2023; Afire ; Christian Petzold
224;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2022; La novelista y su película ; Thomas Schubert
225;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2021; La ruleta de la fortuna y la fantasía ; Paula Beer
226;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2020; Nunca, casi nunca, a veces, siempre ; Langston Uibel
227;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2019; Gracias a Dios ; Hong Sang-soo
228;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2018; Mug ; Lee Hye-young
229;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2017; Félicité ; Kim Min-hee
230;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2016; Hotel Europa ; Seo Young-hwa
231;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2015; El club ; Ryûsuke Hamaguchi
232;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2014; El Gran Hotel Budapest ; Kotone Furukawa
233;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2013; La mujer del chatarrero ; Ayumu Nakajima
234;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2012; Solo el viento ; Hyunri
235;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2011; El caballo de Turín ; Eliza Hittman
236;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2010; Si quiero silbar, silbo ; Sidney Flanigan
237;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2009; Gigante ; Talia Ryder
238;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2008; Entre nosotros ; Théodore Pellerin
239;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2007; S.O.P: Standard Operating Procedure ; François Ozon
240;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2006; El otro ; Melvil Poupaud
241;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2005; Offside (Fuera de juego) ; Denis Ménochet
242;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2004; En soap (Enjabonado) ; François Marthouret
243;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2003; Peacock ; Malgorzata Szumowska
244;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2002; El abrazo partido ; Mateusz Kosciukiewicz
245;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2001; Adaptation. El ladrón de orquídeas ; Agnieszka Podsiadlik
246;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2000; A media escalera ; Malgorzata Gorol
247;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;1999; La bicicleta de Pekín ; Alain Gomis
248;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;1998; El camino a casa ; Véro Tshanda Beya Mputu
249;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;1997; Mifune ; Gaetan Claudia
250;Festival de Venecia ; León de Oro - Mejor película: ;2022; La belleza y el dolor ; Laura Poitras
251;Festival de Venecia ; León de Oro - Mejor película: ;2021; El acontecimiento ; Audrey Diwan
252;Festival de Venecia ; León de Oro - Mejor película: ;2020; Nomadland ; Anamaria Vartolomei
253;Festival de Venecia ; León de Oro - Mejor película: ;2019; Joker ; Sandrine Bonnaire
254;Festival de Venecia ; León de Oro - Mejor película: ;2018; Roma ; Luàna Bajrami
255;Festival de Venecia ; León de Oro - Mejor película: ;2017; La forma del agua ; Chloé Zhao
256;Festival de Venecia ; León de Oro - Mejor película: ;2016; The Woman Who Left ; Frances McDormand
257;Festival de Venecia ; León de Oro - Mejor película: ;2015; Desde allá ; David Strathairn
258;Festival de Venecia ; León de Oro - Mejor película: ;2014; Una paloma se posó en una rama a reflexionar sobre la existencia ; Linda May
259;Festival de Venecia ; León de Oro - Mejor película: ;2013; Sacro GRA ; Todd Phillips
260;Festival de Venecia ; León de Oro - Mejor película: ;2012; Pietà (Piedad) ; Joaquin Phoenix
261;Festival de Venecia ; León de Oro - Mejor película: ;2011; Fausto ; Robert De Niro
262;Festival de Venecia ; León de Oro - Mejor película: ;2010; Somewhere ; Zazie Beetz
263;Festival de Venecia ; León de Oro - Mejor película: ;2009; Líbano ; Alfonso Cuarón
264;Festival de Venecia ; León de Oro - Mejor película: ;2008; El luchador ; Yalitza Aparicio
265;Festival de Venecia ; León de Oro - Mejor película: ;2007; Deseo, peligro ; Marina de Tavira
266;Festival de Venecia ; León de Oro - Mejor película: ;2006; Naturaleza muerta ; Marco Graf
267;Festival de Venecia ; León de Oro - Mejor película: ;2005; Brokeback Mountain (En terreno vedado) ; Guillermo del Toro
268;Festival de Venecia ; León de Oro - Mejor película: ;2004; El secreto de Vera Drake ; Sally Hawkins
269;Festival de Venecia ; León de Oro - Mejor película: ;2003; El regreso ; Doug Jones
270;Festival de Venecia ; León de Oro - Mejor película: ;2002; Las hermanas de la Magdalena ; Michael Shannon
271;Festival de Venecia ; León de Oro - Mejor película: ;2001; La boda del Monzón ; Lav Diaz
272;Festival de Venecia ; León de Oro - Mejor película: ;2000; El círculo ; Charo Santos-Concio
273;Festival de Venecia ; León de Oro - Mejor película: ;1999; Ni uno menos ; John Lloyd Cruz
