id;festival;categoria;año;premiado_a;pelicula
158;Premios Razzie ; Peor actor secundario: ;1994; Ahmed Best  (como la voz de Jar-Jar Brinks) ; Star Wars. Episodio I: La amenaza fantasma 
159;Premios Razzie ; Peor actor secundario: ;1993; Joe Eszterhas  (como él mismo) ; ¡Arde Hollywood! 
160;Premios Razzie ; Peor actor secundario: ;1992; Dennis Rodman ; Double Team 
161;Premios Razzie ; Peor actor secundario: ;1991; Marlon Brando ; La isla del Dr. Moreau 
162;Premios Razzie ; Peor actor secundario: ;1990; Dennis Hopper ; Waterworld 
163;Premios Razzie ; Peor actor secundario: ;1989; O.J. Simpson ; Agárralo como puedas 33 1/3: El insulto final 
164;Premios Razzie ; Peor actor secundario: ;1988; Woody Harrelson ; Una proposición indecente 
165;Premios Razzie ; Peor actor secundario: ;1987; Tom Selleck ; Cristóbal Colón: El descubrimiento 
166;Premios Razzie ; Peor actor secundario: ;1986; Dan Aykroyd ; El gran lío 
167;Premios Razzie ; Peor actor secundario: ;1985; Donald Trump  (cameo) ; Los fantasmas no pueden... hacerlo 
168;Premios Razzie ; Peor actor secundario: ;1984; Christopher Atkins ; Escúchame 
169;Premios Razzie ; Peor actor secundario: ;1983; Dan Aykroyd ; El club de los chalados II 
170;Premios Razzie ; Peor actor secundario: ;1982; David Mendenhall ; Yo, el halcón 
171;Premios Razzie ; Peor actor secundario: ;1981; Jerome Benton ; Under the Cherry Moon 
172;Premios Razzie ; Peor actriz secundaria: ;2023; Adria Arjona ; Morbius 
173;Premios Razzie ; Peor actriz secundaria: ;2022; Judy Kaye ; Lady Di: El musical 
174;Premios Razzie ; Peor actriz secundaria: ;2021; Maddie Ziegler ; Music 
175;Premios Razzie ; Peor actriz secundaria: ;2020; Rebel Wilson ; Cats 
176;Premios Razzie ; Peor actriz secundaria: ;2019; Kellyanne Conway ; Fahrenheit 11/9 
177;Premios Razzie ; Peor actriz secundaria: ;2018; Kim Basinger ; Cincuenta sombras más oscuras 
178;Premios Razzie ; Peor actriz secundaria: ;2017; Kristen Wiig ; Zoolander No. 2 
179;Premios Razzie ; Peor actriz secundaria: ;2016; Kaley Cuoco ; El gurú de las bodas 
180;Premios Razzie ; Peor actriz secundaria: ;2015; Kaley Cuoco ; Alvin y las ardillas: Fiesta sobre ruedas 
181;Premios Razzie ; Peor actriz secundaria: ;2014; Megan Fox ; Ninja Turtles (Las Tortugas Ninja) 
182;Premios Razzie ; Peor actriz secundaria: ;2013; Kim Kardashian ; Tyler Perry's Temptation: Confessions of a Marriage Counselor 
183;Premios Razzie ; Peor actriz secundaria: ;2012; Rihanna ; Battleship 
184;Premios Razzie ; Peor actriz secundaria: ;2011;" David Spade  (personaje: ""Mónica"") "; Jack y su gemela (Jack y Jill) 
185;Premios Razzie ; Peor actriz secundaria: ;2010; Jessica Alba ; Machete 
186;Premios Razzie ; Peor actriz secundaria: ;2009; Jessica Alba ; El demonio bajo la piel 
187;Premios Razzie ; Peor actriz secundaria: ;2008; Jessica Alba ; Historias de San Valentín 
188;Premios Razzie ; Peor actriz secundaria: ;2007; Jessica Alba ; Ahora los padres son ellos 
189;Premios Razzie ; Peor actriz secundaria: ;2006; Sienna Miller ; G.I. Joe 
190;Premios Razzie ; Peor actriz secundaria: ;2005; Paris Hilton ; Repo! The Genetic Opera 
191;Premios Razzie ; Peor actriz secundaria: ;2004; Eddie Murphy (Como Rasputia) ; Norbit 
192;Premios Razzie ; Peor actriz secundaria: ;2003; Carmen Electra ; Scary Movie 4 
193;Premios Razzie ; Peor actriz secundaria: ;2002; Carmen Electra ; Date Movie 
194;Premios Razzie ; Peor actriz secundaria: ;2001; Paris Hilton ; La casa de cera 
195;Premios Razzie ; Peor actriz secundaria: ;2000; Britney Spears ; Fahrenheit 9/11 
