id;festival;categoria;año;premiado_a;pelicula;director
195;Festival de Cannes ; Mejor actriz: ;1971; Shelley Duvall ; Tres mujeres ; Érick Zonca
196;Festival de Cannes ; Mejor actriz: ;1970; Dominique Sanda ; La herencia Ferramonti ; Elodie Bouchez
197;Festival de Cannes ; Mejor actriz: ;1969; Mari Töröcsik ; Déryné, hol van? ; Gary Oldman
198;Festival de Cannes ; Mejor actriz: ;1968; Valerie Perrine ; Lenny ; Kathy Burke
199;Festival de Cannes ; Mejor actriz: ;1967; Marie-José Nat ; Los violines del baile ; Mike Leigh
200;Festival de Cannes ; Mejor actriz: ;1966; Joanne Woodward ; El efecto de los rayos gamma sobre las margaritas ; Brenda Blethyn
201;Festival de Cannes ; Mejor actriz: ;1965; Susannah York ; Imágenes ; Nicholas Hytner
202;Festival de Cannes ; Mejor actriz: ;1964; Kitty Winn ; Pánico en Needle Park ; Nigel Hawthorne
203;Festival de Cannes ; Mejor actriz: ;1963; Ottavia Piccolo ; Metello ; Patrice Chéreau
204;Festival de Cannes ; Mejor actriz: ;1962; Vanessa Redgrave ; Isadora ; Isabelle Adjani
205;Festival de Cannes ; Mejor actriz: ;1961; Pia Degermark ; Elvira Madigan ; Jane Campion
206;Festival de Cannes ; Mejor actriz: ;1960; Vanessa Redgrave ; Morgan, un caso clínico ; Holly Hunter
207;Festival de Cannes ; Mejor actriz: ;1959; Samantha Eggar ; El coleccionista ; Bille August
208;Festival de Cannes ; Mejor actriz: ;1958; Barbara Barrie ; Víctima de la ley ; Samuel Froler
209;Festival de Cannes ; Mejor actriz: ;1957; Anne Bancroft ; Siempre estoy sola ; Krzysztof Kie?lowski
210;Festival de Cannes ; Mejor actriz: ;1956; Marina Vlady ; La abeja reina ; Irène Jacob
211;Festival de Cannes ; Mejor actriz: ;1955; Rita Tushingham ; Un sabor a miel ; Ryszard Bugajski
212;Festival de Cannes ; Mejor actriz: ;1954; Katharine Hepburn ; Larga jornada hacia la noche ; Krystyna Janda
213;Festival de Cannes ; Mejor actriz: ;1953; Sophia Loren ; Dos mujeres ; Fred Schepisi
214;Festival de Cannes ; Mejor actriz: ;1952; Jeanne Moreau ; Moderato cantabile ; Meryl Streep
215;Festival de Cannes ; Mejor actriz: ;1951; Melina Mercouri ; Nunca en domingo ; Chris Menges
216;Festival de Cannes ; Mejor actriz: ;1950; Simone Signoret ; Un lugar en la cumbre ; Barbara Hershey
217;Festival de Cannes ; Mejor actriz: ;1949; Bibi Andersson, Eva Dahlbeck, Barbro Hiort af Ornäs, Ingrid Thulin ; En el umbral de la vida ; Andrei Konchalovsky
218;Festival de Cannes ; Mejor actriz: ;1948; Giulietta Masina ; Las noches de Cabiria ; Jill Clayburgh
219;Festival de Cannes ; Mejor actriz: ;1947; Susan Hayward ; Mañana lloraré ; Arnaldo Jabor
220;Festival de Cannes ; Mejor actriz: ;1946; Todo el reparto ; Bolshaya semya ; Fernanda Torres
221;Festival de Cannes ; Mejor actriz: ;1945; Lee Grant ; Brigada 21 ; Margarethe von Trotta
222;Festival de Cannes ; Mejor actriz: ;1944; Bette Davis ; Eva al desnudo ; Barbara Sukowa
223;Festival de Cannes ; Mejor actriz: ;1943; Isa Miranda ; Demasiado tarde ; Peter Bogdanovich
224;Festival de Cannes ; Mejor actriz: ;1942; Michèle Morgan ; Sinfonía pastoral ; Cher
225;Festival de Cannes ; Mejor guión: ;2023; Tarik Saleh ; Conspiración en El Cairo ; Tarik Saleh
226;Festival de Cannes ; Mejor guión: ;2022; Ryûsuke Hamaguchi, Takamasa Oe ; Drive My Car ; Tawfeek Barhom
227;Festival de Cannes ; Mejor guión: ;2021; Céline Sciamma ; Retrato de una mujer en llamas ; Ryûsuke Hamaguchi
228;Festival de Cannes ; Mejor guión: ;2020; Jafar Panahi, Nader Saeivar ; Tres caras ; Hidetoshi Nishijima
229;Festival de Cannes ; Mejor guión: ;2019; Alice Rohrwacher ; Lazzaro feliz ; Céline Sciamma
230;Festival de Cannes ; Mejor guión: ;2018; Lynne Ramsay ; En realidad, nunca estuviste aquí ; Noémie Merlant
231;Festival de Cannes ; Mejor guión: ;2017; Yorgos Lanthimos, Efthymis Filippou ; El sacrificio de un ciervo sagrado ; Jafar Panahi
232;Festival de Cannes ; Mejor guión: ;2016; Asghar Farhadi ; El viajante ; Jafar Panahi
233;Festival de Cannes ; Mejor guión: ;2015; Michel Franco ; El último paciente: Chronic ; Alice Rohrwacher
234;Festival de Cannes ; Mejor guión: ;2014; Oleg Negin, Andrey Zvyagintsev ; Leviatán ; Adriano Tardiolo
235;Festival de Cannes ; Mejor guión: ;2013; Jia Zhangke ; Un toque de violencia ; Lynne Ramsay
236;Festival de Cannes ; Mejor guión: ;2012; Lee Chang-Dong ; Más allá de las colinas ; Joaquin Phoenix
237;Festival de Cannes ; Mejor guión: ;2011; Mei Feng ; Pie de página (Footnote) ; Yorgos Lanthimos
238;Festival de Cannes ; Mejor guión: ;2010; Jean-Pierre Dardenne, Luc Dardenne ; Poesía ; Colin Farrell
239;Festival de Cannes ; Mejor guión: ;2009; Fatih Akin ; Spring Fever ; Asghar Farhadi
