id;festival;categoria;año;premiado_a
197;Festival de Berlín ; Oso de Oro - Mejor película: ;1976; Deprisa, deprisa 
198;Festival de Berlín ; Oso de Oro - Mejor película: ;1975; Palermo o Wolfsburg 
199;Festival de Berlín ; Oso de Oro - Mejor película: ;1974; Heartland 
200;Festival de Berlín ; Oso de Oro - Mejor película: ;1973; David 
201;Festival de Berlín ; Oso de Oro - Mejor película: ;1972; Las palabras de Max 
202;Festival de Berlín ; Oso de Oro - Mejor película: ;1971; Las truchas 
203;Festival de Berlín ; Oso de Oro - Mejor película: ;1970; Ascensor (C) 
204;Festival de Berlín ; Oso de Oro - Mejor película: ;1969; La ascensión 
205;Festival de Berlín ; Oso de Oro - Mejor película: ;1968; Buffalo Bill y los indios 
206;Festival de Berlín ; Oso de Oro - Mejor película: ;1967; Adopción 
207;Festival de Berlín ; Oso de Oro - Mejor película: ;1966; El aprendizaje de Duddy Kravitz 
208;Festival de Berlín ; Oso de Oro - Mejor película: ;1965; Un trueno lejano 
209;Festival de Berlín ; Oso de Oro - Mejor película: ;1964; Los cuentos de Canterbury 
210;Festival de Berlín ; Oso de Oro - Mejor película: ;1963; El jardín de los Finzi Contini 
211;Festival de Berlín ; Oso de Oro - Mejor película: ;1962; Obras tempranas 
212;Festival de Berlín ; Oso de Oro - Mejor película: ;1961; ¿Quién le ha visto morir? 
213;Festival de Berlín ; Oso de Oro - Mejor película: ;1960; La partida 
214;Festival de Berlín ; Oso de Oro - Mejor película: ;1959; Callejón sin salida 
215;Festival de Berlín ; Oso de Oro - Mejor película: ;1958; Alphaville (Lemmy contra Alphaville) 
216;Festival de Berlín ; Oso de Oro - Mejor película: ;1957; El árido verano (Dry Summer) 
217;Festival de Berlín ; Oso de Oro - Mejor película: ;1956; El diablo 
218;Festival de Berlín ; Oso de Oro - Mejor película: ;1955; Bushido 
219;Festival de Berlín ; Oso de Oro - Mejor película: ;1954; Esa clase de amor 
220;Festival de Berlín ; Oso de Oro - Mejor película: ;1953; La noche 
221;Festival de Berlín ; Oso de Oro - Mejor película: ;1952; El lazarillo de Tormes 
222;Festival de Berlín ; Oso de Oro - Mejor película: ;1951; Los primos 
223;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2023; Afire 
224;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2022; La novelista y su película 
225;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2021; La ruleta de la fortuna y la fantasía 
226;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2020; Nunca, casi nunca, a veces, siempre 
227;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2019; Gracias a Dios 
228;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2018; Mug 
229;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2017; Félicité 
230;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2016; Hotel Europa 
231;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2015; El club 
232;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2014; El Gran Hotel Budapest 
233;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2013; La mujer del chatarrero 
234;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2012; Solo el viento 
