,puntuacion,total_premios,razzie,director,guion,musica,fotografia,reparto_1,reparto_2,reparto_3,reparto_4,reparto_5,duracion,year,accion,aventuras,belico,ciencia ficcion,cine negro,comedia,drama,fantastico,infantil,intriga,musical,romance,terror,thriller,western,pais
142,6.2,0,0,0,0,2,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141
143,6.0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,717
144,5.5,3,0,1,1,2,1,1,3,2,7,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1042
148,6.0,0,0,0,0,0,0,4,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,886
149,8.0,0,0,0,0,4,0,2,0,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5177
151,6.5,1,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150
152,6.1,0,0,6,8,15,5,2,1,6,0,4,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
154,6.2,1,0,1,1,4,0,4,1,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
155,6.2,0,0,1,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15
156,5.0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
157,5.6,0,0,0,0,0,0,3,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5177
158,3.7,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
159,6.1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5177
160,4.4,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,886
161,4.7,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5177
162,6.4,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41
163,5.6,0,0,0,0,0,1,4,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75
164,7.2,1,0,2,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,717
165,6.4,2,0,0,1,0,0,1,1,0,4,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,717
167,5.4,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
168,5.5,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
169,5.3,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150
170,7.9,5,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5177
171,5.2,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5177
172,5.1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
